size,variant,threads,n_games,checkmate_pct,labelle_pct,delta_pct,z_score,ci_95_lo,ci_95_hi,draws_pct,avg_length_plies,white_wins_pct,black_wins_pct
1k,openmp,64,1000,14.70,15.55,-0.850,-0.742,12.640,17.030,85.30,407.24,6.70,8.00
1k,serial,1,1000,16.50,15.55,0.950,0.829,14.328,18.928,83.50,398.15,8.40,8.10
10k,openmp,64,10000,15.64,15.55,0.090,0.248,14.941,16.365,84.36,400.58,7.97,7.67
10k,serial,1,10000,15.70,15.55,0.150,0.414,15.000,16.426,84.30,399.01,7.94,7.76
100k,openmp,64,100000,15.12,15.55,-0.430,-3.752,14.899,15.343,84.88,401.07,7.60,7.52
100k,serial,1,100000,15.32,15.55,-0.230,-2.007,15.098,15.545,84.68,400.80,7.78,7.54
1m,openmp,64,1000000,15.29,15.55,-0.260,-7.175,15.220,15.361,84.71,400.70,7.66,7.63
1m,serial,1,1000000,15.31,15.55,-0.240,-6.623,15.240,15.381,84.69,400.80,7.62,7.69
10m,openmp,1,10000000,15.30,15.55,-0.250,-21.816,15.278,15.322,84.70,400.84,7.65,7.65
10m,openmp,2,10000000,15.31,15.55,-0.240,-20.943,15.288,15.332,84.69,400.79,7.66,7.65
10m,openmp,4,10000000,15.33,15.55,-0.220,-19.198,15.308,15.352,84.67,400.76,7.66,7.67
10m,openmp,8,10000000,15.29,15.55,-0.260,-22.689,15.268,15.312,84.71,400.89,7.65,7.64
10m,openmp,16,10000000,15.33,15.55,-0.220,-19.198,15.308,15.352,84.67,400.75,7.66,7.67
10m,openmp,32,10000000,15.31,15.55,-0.240,-20.943,15.288,15.332,84.69,400.80,7.65,7.65
10m,openmp,64,10000000,15.30,15.55,-0.250,-21.816,15.278,15.322,84.70,400.82,7.64,7.66
10m,serial,1,10000000,15.30,15.55,-0.250,-21.816,15.278,15.322,84.70,400.82,7.65,7.65
100m,openmp,64,100000000,15.31,15.55,-0.240,-66.229,15.303,15.317,84.69,400.80,7.66,7.65
100m,serial,1,100000000,15.31,15.55,-0.240,-66.229,15.303,15.317,84.69,400.81,7.66,7.65
1b,openmp,64,1000000000,15.31,15.55,-0.240,-209.434,15.308,15.312,84.69,400.82,7.66,7.65
